first_name,last_name,email,telephone,date_naiss,lieu_naiss,num_carte,autre_prenom,sexe
Kossi,Ametoglo,kossiametoglo@gmail.com,90123456,1999-03-12,Lomé,230001,Mensah,M
Ama,Adjovi,amaadjovi@gmail.com,91234567,2000-07-25,Aného,230002,Akofa,F
Yaw,Agbogbo,yawagbogbo@yahoo.com,92345678,1998-11-05,Kara,230003,Komlan,M
Afi,Kouassi,afikouassi@gmail.com,93456789,2001-01-18,Abidjan,230004,Mireille,F
Serge,N’Guessan,sergenguessan@yahoo.fr,94567890,1999-09-09,Bouaké,230005,Jean,M
Mariam,Traoré,mariamtraore@gmail.com,95678901,2002-06-30,Bamako,230006,Awa,F
Ibrahim,Ouédraogo,ibrahimouedraogo@gmail.com,96789012,2000-12-14,Ouagadougou,230007,Issa,M
Fatou,Sarr,fatousarr@yahoo.com,97890123,2001-04-03,Dakar,230008,Mame,F
Junior,Mbarga,juniormbarga@gmail.com,98901234,1998-02-21,Yaoundé,230009,Arnaud,M
Chantal,Kabore,chantalkabore@gmail.com,99012345,2002-10-10,Bobo-Dioulasso,230010,Ruth,F
Chantalina,Sissou,zthibaute2003@gmail.com,99012385,2002-10-10,Lomé,230011,Rulina,F
Amélie,Souke,hypo34763@gmail.com,98012285,2006-12-10,Lomé,230012,Rana,F
Kodjo,Mensah,kodjom@gmail.com,90112233,1997-05-19,Lomé,230013,Etienne,M
Akossiwa,Tchalla,akossiwa.t@gmail.com,91223344,1999-08-02,Sokodé,230014,Judith,F
Souleymane,Diabaté,soule.diabate@gmail.com,92334455,1998-01-11,Kankan,230015,Mamadou,M
Nadine,Akakpo,nadine.akakpo@gmail.com,93445566,2000-04-27,Cotonou,230016,Claire,F
Issoufou,Moussa,issoufou.m@gmail.com,94556677,1996-09-30,Niamey,230017,Salifou,M
Prisca,Hounkpatin,prisca.h@gmail.com,95667788,2001-12-05,Porto-Novo,230018,Noëlle,F
Abdoulaye,Balde,abdou.balde@gmail.com,96778899,1999-06-14,Ziguinchor,230019,Ousmane,M
Mireille,Nkeng,mireille.nk@gmail.com,97889900,2002-03-22,Bafoussam,230020,Esther,F
